"EmployeeNumber","HazardCox","HazardRSF0","HazardRSF1","HazardRSF2","HazardRSF3","HazardRSF4","HazardRSF5"
1,14.0504192694043,0.0217545409052528,0.119198399303531,0.251355273295066,0.315471179447737,0.342787416976978,0.51066787350875
2,3.45982988400285,0,0.00470048809344138,0.00470048809344138,0.00470048809344138,0.00659824719708284,0.00882046941930506
4,32.1085869006221,0.0889953813126632,0.292885641828033,0.434597337339264,0.610620732245012,0.755739155488435,0.994405312860474
5,16.9772592735144,0.026181691308157,0.164302838229506,0.219649615561023,0.270046962770057,0.350673669396764,0.502478465477875
8,7.84476650621194,0.004742333105491,0.0391167654996028,0.0470062837213192,0.0662276238688102,0.0795511186425338,0.0901373189918921
13,1.22296877807373,0.00175132275132275,0.00899669519793359,0.0238994539888503,0.0238994539888503,0.03884891139419,0.0599805159007945
14,8.61519247045364,0.000976190476190476,0.0721073919482466,0.0936553043796629,0.12906732918836,0.163163532677516,0.169417861681845
15,23.6237817783797,0.00888674884577521,0.0512292673115662,0.0781864855844864,0.109484594012007,0.120608914136327,0.198305436081301
16,4.78275013954949,0,0.0378747305107498,0.0507634096506673,0.0685136444949424,0.0888037196158998,0.10034675990894
19,32.400392408571,0.0675282245393178,0.272835527361864,0.380147178644877,0.52743225549613,0.694885815824691,0.967827225721982
20,0.947184102725434,0,0.00391015466015466,0.00478136678136678,0.00519803344803345,0.00625066502698082,0.00625066502698082
21,16.0404219763325,0.0237358607029519,0.0766259941171551,0.121084686828476,0.172534307037838,0.223064238492692,0.290378365542114
22,28.3838739882414,0.0234565389342785,0.10962672814946,0.145399326880801,0.1954880132489,0.215844656605543,0.289925972348623
23,0.286965189630211,0.000779610194902549,0.00476158635079175,0.00528790214026543,0.00639901325137654,0.0134737995761629,0.0134737995761629
24,14.5974614669205,0.0103317590555947,0.0592613704423621,0.122011370636477,0.154895619832413,0.180025854363963,0.304570376620173
26,2.26309694426594,0.00112121212121212,0.0216315361603921,0.029189982074643,0.0441661021448033,0.0544693354611945,0.0640526687945278
28,0.410251169459734,0.00183963573768671,0.0114852600811371,0.0131808066398416,0.0161051357917922,0.0240058065864259,0.0279098412772253
32,0.168051851381603,0,0.000909090909090909,0.000909090909090909,0.000909090909090909,0.00174242424242424,0.00856721056721057
33,14.6508102261086,0.0170671023323947,0.0674114158939075,0.0928936358943096,0.126695653680918,0.169149699634964,0.255144122208721
36,0.588650063173028,0.00112535612535613,0.0160376675795046,0.0174971149948343,0.0225652968130161,0.027438312686032,0.028063312686032
38,0.171695541233724,0.000344827586206897,0.00640880615150125,0.00767586268171568,0.00866620084596688,0.012547919402608,0.0139764908311795
39,8.52764139847685,0.00611997557477097,0.0468543959509216,0.0796422835923628,0.130112354685028,0.146564318356032,0.168817185372057
